animal_id,trial_type,perc_cor,mt,er_mt
dw07,go,0.713043478,0.655616159,0.665699621
dw07,go,0.713043478,0.655616159,0.665699621
dw07,go,0.683431953,0.589567532,0.599285
dw07,go,0.683431953,0.589567532,0.599285
dw07,go,0.683431953,0.589567532,0.599285
dw07,go,0.712598425,0.561765055,0.590694863
dw07,go,0.745098039,0.61151102,0.746461
dw07,go,0.745098039,0.61151102,0.746461
dw07,go,0.745098039,0.61151102,0.746461
dw07,go,0.745098039,0.61151102,0.746461
dw07,go,0.68879668,0.46875753,0.513590333
dw07,go,0.68879668,0.46875753,0.513590333
dw07,go,0.68879668,0.46875753,0.513590333
dw07,go,0.62601626,0.712419805,0.728392582
dw07,go,0.62601626,0.712419805,0.728392582
dw07,go,0.699453552,0.63905,0.669146818
dw07,go,0.733333333,0.520206591,0.57203875
dw07,go,0.733333333,0.520206591,0.57203875
dw07,go,0.748691099,0.526011538,0.572605208
dw07,go,0.716894977,0.618884236,0.673180242
dw07,go,0.716894977,0.618884236,0.673180242
